repo_id,owner,repo_name,full_name,repo_url,description,language,topics,stars_total,forks_total,watchers_total,open_issues_count,created_at,updated_at,pushed_at,license,default_branch,has_issues,has_wiki,has_pages,archived,size,stars_this_week,readme_text,collected_at,source_type,api_status
900010,agent-lab-10,research-agent-radar-010,agent-lab-10/research-agent-radar-010,https://github.com/agent-lab-10/research-agent-radar-010,Research Agent toolkit for AI Agent ecosystem analysis and course demos.,TypeScript,research-agent|paper|workflow,1148,120,1002,12,2026-03-16T03:08:27+00:00,2026-06-07T03:08:27+00:00,2026-06-06T03:08:27+00:00,MIT,main,True,False,True,False,44959,201,"# Research Agent Lab 010

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

## Quickstart
Run python main.py to launch the demo.

## Demo
Includes examples and screenshots.

Topics: research-agent, paper, workflow

Topics: research-agent, paper, workflow

Topics: research-agent, paper, workflow

Topics: research-agent, paper, workflow",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900011,agent-lab-11,workflow-agent-radar-011,agent-lab-11/workflow-agent-radar-011,https://github.com/agent-lab-11/workflow-agent-radar-011,Workflow Agent toolkit for AI Agent ecosystem analysis and course demos.,Python,workflow-agent|orchestration|agentic-ai,3071,519,821,177,2022-03-23T03:08:27+00:00,2025-03-29T03:08:27+00:00,2025-03-26T03:08:27+00:00,Apache-2.0,main,True,False,True,True,41455,29,"# Workflow Agent Lab 011

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

Topics: workflow-agent, orchestration, agentic-ai

Topics: workflow-agent, orchestration, agentic-ai

Topics: workflow-agent, orchestration, agentic-ai

Topics: workflow-agent, orchestration, agentic-ai",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900012,agent-lab-12,mcp-tool-radar-012,agent-lab-12/mcp-tool-radar-012,https://github.com/agent-lab-12/mcp-tool-radar-012,MCP Tool toolkit for AI Agent ecosystem analysis and course demos.,TypeScript,mcp|tooling|developer-tools,1009,72,709,43,2022-03-14T03:08:27+00:00,2026-06-06T03:08:27+00:00,2026-06-03T03:08:27+00:00,BSD-3-Clause,main,True,False,False,False,56755,39,"# MCP Tool Lab 012

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

## Quickstart
Run python main.py to launch the demo.

## Demo
Includes examples and screenshots.

## CPU Friendly
Runs on CPU-only Windows 11 environments.

## Docker
A Dockerfile example is provided.

Topics: mcp, tooling, developer-tools",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900013,agent-lab-13,multimodal-agent-radar-013,agent-lab-13/multimodal-agent-radar-013,https://github.com/agent-lab-13/multimodal-agent-radar-013,Multimodal Agent toolkit for AI Agent ecosystem analysis and course demos.,Python,multimodal|vision-language|agent,562,64,242,39,2025-07-25T03:08:27+00:00,2025-05-11T03:08:27+00:00,2025-05-09T03:08:27+00:00,BSD-3-Clause,main,True,False,True,False,10023,1,"# Multimodal Agent Lab 013

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

Requires GPU acceleration and multiple API key providers.

Experimental status; issues may be stale.

Topics: multimodal, vision-language, agent",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900014,agent-lab-14,automl-agent-radar-014,agent-lab-14/automl-agent-radar-014,https://github.com/agent-lab-14/automl-agent-radar-014,AutoML Agent toolkit for AI Agent ecosystem analysis and course demos.,Python,automl|mlops|agent,563,81,121,22,2026-04-02T03:08:27+00:00,2026-06-14T03:08:27+00:00,2026-06-12T03:08:27+00:00,MIT,main,True,True,False,False,43821,159,"# AutoML Agent Lab 014

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

## Quickstart
Run python main.py to launch the demo.

## Demo
Includes examples and screenshots.

## CPU Friendly
Runs on CPU-only Windows 11 environments.

## Docker
A Dockerfile example is provided.

Topics: automl, mlops, agent

Topics: automl, mlops, agent

Topics: automl, mlops, agent

Topics: automl, mlops, agent",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900015,agent-lab-15,data-agent-radar-015,agent-lab-15/data-agent-radar-015,https://github.com/agent-lab-15/data-agent-radar-015,Data Agent toolkit for AI Agent ecosystem analysis and course demos.,Jupyter Notebook,data-agent|analytics|pandas,1921,401,743,169,2026-01-21T03:08:27+00:00,2026-06-07T03:08:27+00:00,2026-06-05T03:08:27+00:00,Apache-2.0,main,True,True,False,False,49414,425,"# Data Agent Lab 015

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

## Quickstart
Run python main.py to launch the demo.

## Demo
Includes examples and screenshots.

Topics: data-agent, analytics, pandas

Topics: data-agent, analytics, pandas

Topics: data-agent, analytics, pandas",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900016,agent-lab-16,coding-agent-radar-016,agent-lab-16/coding-agent-radar-016,https://github.com/agent-lab-16/coding-agent-radar-016,Coding Agent toolkit for AI Agent ecosystem analysis and course demos.,Python,coding-agent|codex|automation,2764,556,762,78,2023-04-17T03:08:27+00:00,2025-01-26T03:08:27+00:00,2025-01-25T03:08:27+00:00,BSD-3-Clause,main,True,True,True,True,25886,3,"# Coding Agent Lab 016

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

Topics: coding-agent, codex, automation

Topics: coding-agent, codex, automation

Topics: coding-agent, codex, automation

Topics: coding-agent, codex, automation

Topics: coding-agent, codex, automation",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900017,agent-lab-00,rag-agent-radar-017,agent-lab-00/rag-agent-radar-017,https://github.com/agent-lab-00/rag-agent-radar-017,RAG Agent toolkit for AI Agent ecosystem analysis and course demos.,Python,rag|llm|retrieval,1966,116,444,74,2024-12-11T03:08:27+00:00,2026-05-17T03:08:27+00:00,2026-05-16T03:08:27+00:00,MIT,main,True,True,True,False,33886,95,"# RAG Agent Lab 017

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

## Quickstart
Run python main.py to launch the demo.

## Demo
Includes examples and screenshots.

## CPU Friendly
Runs on CPU-only Windows 11 environments.

## Docker
A Dockerfile example is provided.

Topics: rag, llm, retrieval

Topics: rag, llm, retrieval

Topics: rag, llm, retrieval

Topics: rag, llm, retrieval

Topics: rag, llm, retrieval",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900018,agent-lab-01,research-agent-radar-018,agent-lab-01/research-agent-radar-018,https://github.com/agent-lab-01/research-agent-radar-018,Research Agent toolkit for AI Agent ecosystem analysis and course demos.,TypeScript,research-agent|paper|workflow,1196,252,453,95,2024-07-20T03:08:27+00:00,2025-01-13T03:08:27+00:00,2025-01-11T03:08:27+00:00,NOASSERTION,main,True,True,False,False,15483,11,"# Research Agent Lab 018

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

Requires GPU acceleration and multiple API key providers.

Experimental status; issues may be stale.

Topics: research-agent, paper, workflow

Topics: research-agent, paper, workflow

Topics: research-agent, paper, workflow

Topics: research-agent, paper, workflow",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900019,agent-lab-02,workflow-agent-radar-019,agent-lab-02/workflow-agent-radar-019,https://github.com/agent-lab-02/workflow-agent-radar-019,Workflow Agent toolkit for AI Agent ecosystem analysis and course demos.,Python,workflow-agent|orchestration|agentic-ai,237,47,195,25,2026-06-01T03:08:27+00:00,2026-06-11T03:08:27+00:00,2026-06-07T03:08:27+00:00,MIT,main,True,True,False,False,28980,70,"# Workflow Agent Lab 019

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

## Quickstart
Run python main.py to launch the demo.

## Demo
Includes examples and screenshots.

## CPU Friendly
Runs on CPU-only Windows 11 environments.

## Docker
A Dockerfile example is provided.

Topics: workflow-agent, orchestration, agentic-ai

Topics: workflow-agent, orchestration, agentic-ai

Topics: workflow-agent, orchestration, agentic-ai

Topics: workflow-agent, orchestration, agentic-ai

Topics: workflow-agent, orchestration, agentic-ai",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900020,agent-lab-03,mcp-tool-radar-020,agent-lab-03/mcp-tool-radar-020,https://github.com/agent-lab-03/mcp-tool-radar-020,MCP Tool toolkit for AI Agent ecosystem analysis and course demos.,TypeScript,mcp|tooling|developer-tools,966,168,356,37,2026-01-23T03:08:27+00:00,2026-06-05T03:08:27+00:00,2026-06-05T03:08:27+00:00,NOASSERTION,main,True,False,False,False,6833,186,"# MCP Tool Lab 020

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

## Quickstart
Run python main.py to launch the demo.

## Demo
Includes examples and screenshots.

Topics: mcp, tooling, developer-tools",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900021,agent-lab-04,multimodal-agent-radar-021,agent-lab-04/multimodal-agent-radar-021,https://github.com/agent-lab-04/multimodal-agent-radar-021,Multimodal Agent toolkit for AI Agent ecosystem analysis and course demos.,Python,multimodal|vision-language|agent,3358,662,2498,117,2021-06-10T03:08:27+00:00,2025-01-24T03:08:27+00:00,2025-01-23T03:08:27+00:00,Apache-2.0,main,True,False,True,False,45466,8,"# Multimodal Agent Lab 021

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

Topics: multimodal, vision-language, agent

Topics: multimodal, vision-language, agent

Topics: multimodal, vision-language, agent",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900022,agent-lab-05,automl-agent-radar-022,agent-lab-05/automl-agent-radar-022,https://github.com/agent-lab-05/automl-agent-radar-022,AutoML Agent toolkit for AI Agent ecosystem analysis and course demos.,Python,automl|mlops|agent,961,61,532,29,2023-10-24T03:08:27+00:00,2026-06-09T03:08:27+00:00,2026-06-09T03:08:27+00:00,NOASSERTION,main,True,True,True,False,52635,20,"# AutoML Agent Lab 022

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

## Quickstart
Run python main.py to launch the demo.

## Demo
Includes examples and screenshots.

## CPU Friendly
Runs on CPU-only Windows 11 environments.

## Docker
A Dockerfile example is provided.

Topics: automl, mlops, agent

Topics: automl, mlops, agent

Topics: automl, mlops, agent

Topics: automl, mlops, agent

Topics: automl, mlops, agent",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900023,agent-lab-06,data-agent-radar-023,agent-lab-06/data-agent-radar-023,https://github.com/agent-lab-06/data-agent-radar-023,Data Agent toolkit for AI Agent ecosystem analysis and course demos.,Jupyter Notebook,data-agent|analytics|pandas,526,91,446,47,2023-11-29T03:08:27+00:00,2025-11-12T03:08:27+00:00,2025-11-12T03:08:27+00:00,MIT,main,True,False,True,False,27644,11,"# Data Agent Lab 023

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

Requires GPU acceleration and multiple API key providers.

Experimental status; issues may be stale.

Topics: data-agent, analytics, pandas

Topics: data-agent, analytics, pandas

Topics: data-agent, analytics, pandas",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900024,agent-lab-07,coding-agent-radar-024,agent-lab-07/coding-agent-radar-024,https://github.com/agent-lab-07/coding-agent-radar-024,Coding Agent toolkit for AI Agent ecosystem analysis and course demos.,Python,coding-agent|codex|automation,375,34,220,22,2026-04-13T03:08:27+00:00,2026-06-09T03:08:27+00:00,2026-06-09T03:08:27+00:00,MIT,main,True,True,True,False,10246,108,"# Coding Agent Lab 024

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

## Quickstart
Run python main.py to launch the demo.

## Demo
Includes examples and screenshots.

## CPU Friendly
Runs on CPU-only Windows 11 environments.

## Docker
A Dockerfile example is provided.

Topics: coding-agent, codex, automation

Topics: coding-agent, codex, automation

Topics: coding-agent, codex, automation",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900025,agent-lab-08,rag-agent-radar-025,agent-lab-08/rag-agent-radar-025,https://github.com/agent-lab-08/rag-agent-radar-025,RAG Agent toolkit for AI Agent ecosystem analysis and course demos.,Python,rag|llm|retrieval,1374,285,1029,163,2026-05-04T03:08:27+00:00,2026-06-14T03:08:27+00:00,2026-06-12T03:08:27+00:00,Apache-2.0,main,True,True,False,False,59989,469,"# RAG Agent Lab 025

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

## Quickstart
Run python main.py to launch the demo.

## Demo
Includes examples and screenshots.

Topics: rag, llm, retrieval

Topics: rag, llm, retrieval

Topics: rag, llm, retrieval",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900026,agent-lab-09,research-agent-radar-026,agent-lab-09/research-agent-radar-026,https://github.com/agent-lab-09/research-agent-radar-026,Research Agent toolkit for AI Agent ecosystem analysis and course demos.,TypeScript,research-agent|paper|workflow,2622,355,1631,157,2025-10-01T03:08:27+00:00,2024-11-25T03:08:27+00:00,2024-11-21T03:08:27+00:00,NOASSERTION,main,True,False,False,True,34177,21,"# Research Agent Lab 026

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

Topics: research-agent, paper, workflow

Topics: research-agent, paper, workflow",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900027,agent-lab-10,workflow-agent-radar-027,agent-lab-10/workflow-agent-radar-027,https://github.com/agent-lab-10/workflow-agent-radar-027,Workflow Agent toolkit for AI Agent ecosystem analysis and course demos.,Python,workflow-agent|orchestration|agentic-ai,775,94,559,19,2020-11-14T03:08:27+00:00,2026-05-27T03:08:27+00:00,2026-05-26T03:08:27+00:00,NOASSERTION,main,True,True,True,False,10190,41,"# Workflow Agent Lab 027

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

## Quickstart
Run python main.py to launch the demo.

## Demo
Includes examples and screenshots.

## CPU Friendly
Runs on CPU-only Windows 11 environments.

## Docker
A Dockerfile example is provided.

Topics: workflow-agent, orchestration, agentic-ai

Topics: workflow-agent, orchestration, agentic-ai",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900028,agent-lab-11,mcp-tool-radar-028,agent-lab-11/mcp-tool-radar-028,https://github.com/agent-lab-11/mcp-tool-radar-028,MCP Tool toolkit for AI Agent ecosystem analysis and course demos.,TypeScript,mcp|tooling|developer-tools,514,96,434,59,2021-02-20T03:08:27+00:00,2026-01-15T03:08:27+00:00,2026-01-15T03:08:27+00:00,BSD-3-Clause,main,True,False,False,False,26197,2,"# MCP Tool Lab 028

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

Requires GPU acceleration and multiple API key providers.

Experimental status; issues may be stale.

Topics: mcp, tooling, developer-tools

Topics: mcp, tooling, developer-tools

Topics: mcp, tooling, developer-tools

Topics: mcp, tooling, developer-tools

Topics: mcp, tooling, developer-tools",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900029,agent-lab-12,multimodal-agent-radar-029,agent-lab-12/multimodal-agent-radar-029,https://github.com/agent-lab-12/multimodal-agent-radar-029,Multimodal Agent toolkit for AI Agent ecosystem analysis and course demos.,Python,multimodal|vision-language|agent,340,16,208,2,2026-05-20T03:08:27+00:00,2026-06-14T03:08:27+00:00,2026-06-14T03:08:27+00:00,BSD-3-Clause,main,True,True,True,False,35911,28,"# Multimodal Agent Lab 029

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

## Quickstart
Run python main.py to launch the demo.

## Demo
Includes examples and screenshots.

## CPU Friendly
Runs on CPU-only Windows 11 environments.

## Docker
A Dockerfile example is provided.

Topics: multimodal, vision-language, agent

Topics: multimodal, vision-language, agent

Topics: multimodal, vision-language, agent

Topics: multimodal, vision-language, agent

Topics: multimodal, vision-language, agent",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900030,agent-lab-13,automl-agent-radar-030,agent-lab-13/automl-agent-radar-030,https://github.com/agent-lab-13/automl-agent-radar-030,AutoML Agent toolkit for AI Agent ecosystem analysis and course demos.,Python,automl|mlops|agent,1247,59,467,9,2026-04-06T03:08:27+00:00,2026-06-06T03:08:27+00:00,2026-06-02T03:08:27+00:00,MIT,main,True,True,True,False,85436,397,"# AutoML Agent Lab 030

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

## Quickstart
Run python main.py to launch the demo.

## Demo
Includes examples and screenshots.

Topics: automl, mlops, agent

Topics: automl, mlops, agent

Topics: automl, mlops, agent

Topics: automl, mlops, agent

Topics: automl, mlops, agent",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900031,agent-lab-14,data-agent-radar-031,agent-lab-14/data-agent-radar-031,https://github.com/agent-lab-14/data-agent-radar-031,Data Agent toolkit for AI Agent ecosystem analysis and course demos.,Jupyter Notebook,data-agent|analytics|pandas,2582,150,2187,88,2023-12-01T03:08:27+00:00,2024-02-12T03:08:27+00:00,2024-02-12T03:08:27+00:00,MIT,main,True,True,False,False,76046,11,"# Data Agent Lab 031

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

Topics: data-agent, analytics, pandas

Topics: data-agent, analytics, pandas

Topics: data-agent, analytics, pandas",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900032,agent-lab-15,coding-agent-radar-032,agent-lab-15/coding-agent-radar-032,https://github.com/agent-lab-15/coding-agent-radar-032,Coding Agent toolkit for AI Agent ecosystem analysis and course demos.,Python,coding-agent|codex|automation,466,84,137,39,2021-08-15T03:08:27+00:00,2026-05-06T03:08:27+00:00,2026-05-03T03:08:27+00:00,NOASSERTION,main,True,True,False,False,46668,23,"# Coding Agent Lab 032

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

## Quickstart
Run python main.py to launch the demo.

## Demo
Includes examples and screenshots.

## CPU Friendly
Runs on CPU-only Windows 11 environments.

## Docker
A Dockerfile example is provided.

Topics: coding-agent, codex, automation

Topics: coding-agent, codex, automation

Topics: coding-agent, codex, automation

Topics: coding-agent, codex, automation",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900033,agent-lab-16,rag-agent-radar-033,agent-lab-16/rag-agent-radar-033,https://github.com/agent-lab-16/rag-agent-radar-033,RAG Agent toolkit for AI Agent ecosystem analysis and course demos.,Python,rag|llm|retrieval,110,17,58,38,2020-08-17T03:08:27+00:00,2024-12-31T03:08:27+00:00,2024-12-31T03:08:27+00:00,MIT,main,True,False,True,False,21545,1,"# RAG Agent Lab 033

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

Requires GPU acceleration and multiple API key providers.

Experimental status; issues may be stale.

Topics: rag, llm, retrieval",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900034,agent-lab-00,research-agent-radar-034,agent-lab-00/research-agent-radar-034,https://github.com/agent-lab-00/research-agent-radar-034,Research Agent toolkit for AI Agent ecosystem analysis and course demos.,TypeScript,research-agent|paper|workflow,373,40,322,19,2026-04-26T03:08:27+00:00,2026-06-12T03:08:27+00:00,2026-06-11T03:08:27+00:00,BSD-3-Clause,main,True,True,True,False,43697,56,"# Research Agent Lab 034

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

## Quickstart
Run python main.py to launch the demo.

## Demo
Includes examples and screenshots.

## CPU Friendly
Runs on CPU-only Windows 11 environments.

## Docker
A Dockerfile example is provided.

Topics: research-agent, paper, workflow

Topics: research-agent, paper, workflow",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
